title,artist,track_id,bpm,danceability,energy
Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,,,
tv off (feat. lefty gunplay),Kendrick Lamar,0aB0v4027ukVziUGwVGYpG,,,
squabble up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,,,
FE!N (feat. Playboi Carti),Travis Scott,42VsgItocQwOQC3XWZ8JNA,,,
Big Dawgs,Hanumankind,0OA00aPt3BV10qeMIs3meW,,,
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,5xeSd4HgzrYpNLEf3LfYLK,,,
Paint The Town Red,Doja Cat,2IGMVunIBsBLtEQyoI1Mu7,,,
Houdini,Eminem,2HYFX63wP3otVIvopRS99Z,,,
Empty Out Your Pockets,Juice WRLD,2QxekHjOYDnzNO5w8hu2D9,,,
Like That,Future,2tudvzsrR56uom6smgOcSf,,,
redrum,21 Savage,52eIcoLUM25zbQupAZYoFh,,,
Wanna Be (with Megan Thee Stallion),GloRilla,7mOC6phfrfz3jfigg1aGsE,,,
All My Life (feat. J. Cole),Lil Durk,6HgWWaMu31KdOpEG5l28BG,,,
I LUV HER (wth T-Pain),GloRilla,1GpDcABDptCpIOALmD2S5f,,,
Type Shit,Future,28drn6tQo95MRvO0jQEo5C,,,
euphoria,Kendrick Lamar,77DRzu7ERs0TX3roZcre7Q,,,
TGIF,GloRilla,56qiAh3R5y85Ng26tkAUD3,,,
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,4DGrMHTVjxecZbYStawUK1,,,
Shake Dat Ass(Twerk Song),BossMan Dlow,001dVqDI4LUA4DUThvVaRS,,,
Tomorrow 2 (with Cardi B),GloRilla,7KXVIAuw3m2hxZanrpSXS3,,,
Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp,,,
Thang For You (feat. No Cap),Rylo Rodriguez,1GlLIz7AtCYnwvXpz2rzbo,,,
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",3tFed7YsjGnIfxeLEQwx3R,,,
Trance (with Travis Scott & Young Thug),Metro Boomin,7Ap7Fpqnh2BUQBQxbLEC9I,,,
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2X07jpd6Vo6Tzbbzq6rZWC,,,
Deli,Ice Spice,5JYPXqMwYc0zTODQdjMEZN,,,
California Breeze,Lil Baby,6ug9fUi5oLLgQgOF1G8WkM,,,
Put It On Da Floor Again (feat. Cardi B),Latto,6c6WmIHcHlhccEwSFBhzNa,,,
I KNOW ?,Travis Scott,6wsqVwoiVH2kde4k4KKAFU,,,
Lady Killers II (Christoph Andersson Remix),G-Eazy,0QRhtV1MwywpkLTvCdMaWq,,,
Yeah Glo!,GloRilla,0SdBkFh6u5IHIXqlBu0NyI,,,
fukumean,Gunna,4rXLjWdF2ZZpXCVTfWcshS,,,
WAIT FOR U (feat. Drake & Tems),Future,1NUSXgqkenc0sP7idI2s8g,,,
DENIAL IS A RIVER,Doechii,1eTaznNW4Xxtx9za2SMTXB,,,
M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,73987AIMr6DOqy8QAsmexU,,,
Dreamin,PARTYNEXTDOOR,35sZOqVnTQNIGWGURrFdLh,,,
Lose Control - The Village Sessions,Teddy Swims,22ESdhHM8SaMQgMMOttjow,,,
THAT GUY,etmnx,0tNmqPu4DwGKXCIOpV2USh,,,
Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z,,,
NIGHTS LIKE THIS PT 2,The Kid LAROI,57G4kEAuP7muC8UzZXtcVi,,,
Mo Chicken (feat. French Montana),BossMan Dlow,5pSpNlqyYsSjdVKdrxvgHn,,,
Headlock,Imogen Heap,7vTENp2sLS3sPY5z4npYNr,,,
HIM ALL ALONG,Gunna,2EKL77lwxvo615Ga7VjEUl,,,
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz,,,
25,Rod Wave,0U60hgxzGit7juEuHul2y3,,,
Sneaking,YoungBoy Never Broke Again,18vCZw9j8AjifMNnOIjjfa,,,
NEW DROP,Don Toliver,4hCOgguVnZqPuYWdi9W6eW,,,
Passport Junkie,Rod Wave,5ahdQDl9WGN9dNDDH0RKyJ,,,
F U 2x,Lil Baby,2ubNuGSCWRRxUfojPRebiA,,,
NISSAN ALTIMA,Doechii,2dKkVF2m160z0RNDN2dddc,,,
By Myself (feat. Rod Wave & Rylo Rodriguez),Lil Baby,6zrCf0MGof32vwLPZIZY2S,,,
Guess featuring billie eilish,Charli xcx,3WOhcATHxK2SLNeP5W3v1v,,,
Blick Sum (feat. Playboi Carti),Latto,3PAvwFSVQ4K4hMo7yJLv0I,,,
FUNK DO BOUNCE (Sped),Ariis,0GAdZ44pjq8Q66q5YvYOQu,,,
void - super slowed,isq,0ujPplwuZcH5skG5R2E9Hz,,,
The Largest,BigXthaPlug,1F5Qp0SJS0QUfqIoQggrLz,,,
Love You,J.I the Prince of N.Y,5xDAPu0xNFVJo299H3Tave,,,
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator",2aYHxnMF2umAavtgBvmkY1,,,
Fall Fast in Love,Rod Wave,1mg8rzws9v1V7OrHAIwT84,,,
IRan,Rod Wave,2urKjD3flF92sLtpCmPPxo,,,
POOKIE'S REQUIEM,SAILORR,0Cu1FFIqiLPHXDLCxTUUnR,,,
Oscar Winning Tears.,RAYE,0iO2iCAjtX0t5duvczNQt6,,,
Cyber Truck,Kodak Black,4DpqKZHmMLx1YN8ieULMp9,,,
Whites,Masicka,4Sf6Kt4Tnskbszxl7hui7t,,,
Get It Sexyy,Sexyy Red,2MjXWroB9wlTG2kqv3avfS,,,
Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt,,,
Paint The Town Blue (from the series Arcane League of Legends),Ashnikko,0g0qfC3nAaIsfbxS29ksJx,,,
Enough (Miami),Cardi B,7pDfRnoEDRkcz7bQsOjnPc,,,
prove it,21 Savage,5wttBUDyaHAR5q9fYnN3YF,,,
N95,Kendrick Lamar,2FeBslNBMdR9V58uv6hd2t,,,
TORE UP,Don Toliver,1jKXjxMWlq4BhH6f9GtZbu,,,
BOP (feat. GloRilla),Big Boogie,0mpDXW1y4X7MlyPecWAlzJ,,,
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,1yeB8MUNeLo9Ek1UEpsyz6,,,
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,1kwPxt35W7cG3rryxR48PO,,,
2AM,BigXthaPlug,26TX1oZbaDeKxfTYDclSAo,,,
1000 Blunts,$uicideboy$,09riz9pAPJyYYDVynE5xxY,,,
Mr Pot Scraper,BossMan Dlow,3yX73YM73j5BF6gIcqZdM7,,,
In A Minute,Lil Baby,5XmwzDNDrhlIRv3eHiitTo,,,
"Dum, Dumb, and Dumber (with Young Thug & Future)",Lil Baby,4IKvw1OdeTJIN3g4zWE38f,,,
Miles On It,Marshmello,4pkb8SbRGeHAvdb87v9rpf,,,
Set It Off,Boosie Badazz,6Efmq0wDgijxWFdBkzIOvb,,,
Count Me Out,Kendrick Lamar,7pj6P5WnxkZsw3XRc8eMe1,,,
Brokey,Latto,6g7vo9RiTkmCDHywj9HKEW,,,
Peaches & Eggplants (feat. 21 Savage),Young Nudy,1KUZ33cOqk3X4Ezk0aZnVp,,,
Finesse,BossMan Dlow,7FCBaE2gGhlWUzUaROPqoV,,,
Tobey (feat. Big Sean and BabyTron),Eminem,4KWeGKChLKcnZsj3sIOSkW,,,
Jimmy Cooks (feat. 21 Savage),Drake,3F5CgOj3wFlRv51JsHbxhe,,,
