title,artist,track_id,bpm,danceability,energy
Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,N/A,N/A,N/A
tv off (feat. lefty gunplay),Kendrick Lamar,0aB0v4027ukVziUGwVGYpG,N/A,N/A,N/A
squabble up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,N/A,N/A,N/A
FE!N (feat. Playboi Carti),Travis Scott,42VsgItocQwOQC3XWZ8JNA,N/A,N/A,N/A
Big Dawgs,Hanumankind,0OA00aPt3BV10qeMIs3meW,N/A,N/A,N/A
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,5xeSd4HgzrYpNLEf3LfYLK,N/A,N/A,N/A
Paint The Town Red,Doja Cat,2IGMVunIBsBLtEQyoI1Mu7,N/A,N/A,N/A
Houdini,Eminem,2HYFX63wP3otVIvopRS99Z,N/A,N/A,N/A
Empty Out Your Pockets,Juice WRLD,2QxekHjOYDnzNO5w8hu2D9,N/A,N/A,N/A
Like That,Future,2tudvzsrR56uom6smgOcSf,N/A,N/A,N/A
redrum,21 Savage,52eIcoLUM25zbQupAZYoFh,N/A,N/A,N/A
Wanna Be (with Megan Thee Stallion),GloRilla,7mOC6phfrfz3jfigg1aGsE,N/A,N/A,N/A
All My Life (feat. J. Cole),Lil Durk,6HgWWaMu31KdOpEG5l28BG,N/A,N/A,N/A
I LUV HER (wth T-Pain),GloRilla,1GpDcABDptCpIOALmD2S5f,N/A,N/A,N/A
Type Shit,Future,28drn6tQo95MRvO0jQEo5C,N/A,N/A,N/A
euphoria,Kendrick Lamar,77DRzu7ERs0TX3roZcre7Q,N/A,N/A,N/A
TGIF,GloRilla,56qiAh3R5y85Ng26tkAUD3,N/A,N/A,N/A
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,4DGrMHTVjxecZbYStawUK1,N/A,N/A,N/A
Shake Dat Ass(Twerk Song),BossMan Dlow,001dVqDI4LUA4DUThvVaRS,N/A,N/A,N/A
Tomorrow 2 (with Cardi B),GloRilla,7KXVIAuw3m2hxZanrpSXS3,N/A,N/A,N/A
Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp,N/A,N/A,N/A
Thang For You (feat. No Cap),Rylo Rodriguez,1GlLIz7AtCYnwvXpz2rzbo,N/A,N/A,N/A
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",3tFed7YsjGnIfxeLEQwx3R,N/A,N/A,N/A
Trance (with Travis Scott & Young Thug),Metro Boomin,7Ap7Fpqnh2BUQBQxbLEC9I,N/A,N/A,N/A
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2X07jpd6Vo6Tzbbzq6rZWC,N/A,N/A,N/A
Deli,Ice Spice,5JYPXqMwYc0zTODQdjMEZN,N/A,N/A,N/A
California Breeze,Lil Baby,6ug9fUi5oLLgQgOF1G8WkM,N/A,N/A,N/A
Put It On Da Floor Again (feat. Cardi B),Latto,6c6WmIHcHlhccEwSFBhzNa,N/A,N/A,N/A
I KNOW ?,Travis Scott,6wsqVwoiVH2kde4k4KKAFU,N/A,N/A,N/A
Lady Killers II (Christoph Andersson Remix),G-Eazy,0QRhtV1MwywpkLTvCdMaWq,N/A,N/A,N/A
Yeah Glo!,GloRilla,0SdBkFh6u5IHIXqlBu0NyI,N/A,N/A,N/A
fukumean,Gunna,4rXLjWdF2ZZpXCVTfWcshS,N/A,N/A,N/A
WAIT FOR U (feat. Drake & Tems),Future,1NUSXgqkenc0sP7idI2s8g,N/A,N/A,N/A
DENIAL IS A RIVER,Doechii,1eTaznNW4Xxtx9za2SMTXB,N/A,N/A,N/A
M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,73987AIMr6DOqy8QAsmexU,N/A,N/A,N/A
Dreamin,PARTYNEXTDOOR,35sZOqVnTQNIGWGURrFdLh,N/A,N/A,N/A
Lose Control - The Village Sessions,Teddy Swims,22ESdhHM8SaMQgMMOttjow,N/A,N/A,N/A
THAT GUY,etmnx,0tNmqPu4DwGKXCIOpV2USh,N/A,N/A,N/A
Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z,N/A,N/A,N/A
NIGHTS LIKE THIS PT 2,The Kid LAROI,57G4kEAuP7muC8UzZXtcVi,N/A,N/A,N/A
Mo Chicken (feat. French Montana),BossMan Dlow,5pSpNlqyYsSjdVKdrxvgHn,N/A,N/A,N/A
Headlock,Imogen Heap,7vTENp2sLS3sPY5z4npYNr,N/A,N/A,N/A
HIM ALL ALONG,Gunna,2EKL77lwxvo615Ga7VjEUl,N/A,N/A,N/A
No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz,N/A,N/A,N/A
25,Rod Wave,0U60hgxzGit7juEuHul2y3,N/A,N/A,N/A
Sneaking,YoungBoy Never Broke Again,18vCZw9j8AjifMNnOIjjfa,N/A,N/A,N/A
NEW DROP,Don Toliver,4hCOgguVnZqPuYWdi9W6eW,N/A,N/A,N/A
Passport Junkie,Rod Wave,5ahdQDl9WGN9dNDDH0RKyJ,N/A,N/A,N/A
F U 2x,Lil Baby,2ubNuGSCWRRxUfojPRebiA,N/A,N/A,N/A
NISSAN ALTIMA,Doechii,2dKkVF2m160z0RNDN2dddc,N/A,N/A,N/A
By Myself (feat. Rod Wave & Rylo Rodriguez),Lil Baby,6zrCf0MGof32vwLPZIZY2S,N/A,N/A,N/A
Guess featuring billie eilish,Charli xcx,3WOhcATHxK2SLNeP5W3v1v,N/A,N/A,N/A
Blick Sum (feat. Playboi Carti),Latto,3PAvwFSVQ4K4hMo7yJLv0I,N/A,N/A,N/A
FUNK DO BOUNCE (Sped),Ariis,0GAdZ44pjq8Q66q5YvYOQu,N/A,N/A,N/A
void - super slowed,isq,0ujPplwuZcH5skG5R2E9Hz,N/A,N/A,N/A
